2026-09-07 11:55:37,2026-09-07 11:55:38,1.21
2026-09-07 11:55:57,2026-09-07 11:55:58,0.4
2026-09-07 11:55:58,2026-09-07 11:55:58,0.04
2026-09-07 11:55:58,2026-09-07 11:55:59,1.03
2026-09-07 11:56:00,2026-09-07 11:56:01,1.11
2026-09-07 11:56:02,2026-09-07 11:56:02,0.13
2026-09-07 11:56:02,2026-09-07 11:56:03,0.83
2026-09-07 11:56:03,2026-09-07 11:56:03,0.16
2026-09-07 11:56:03,2026-09-07 11:56:04,0.78
2026-09-07 11:56:18,2026-09-07 11:56:19,1.1
2026-09-07 11:56:21,2026-09-07 11:56:22,0.37
2026-09-07 11:56:33,2026-09-07 11:56:33,0.34
2026-09-07 11:56:33,2026-09-07 11:56:33,0.09
2026-09-07 11:56:34,2026-09-07 11:56:34,0.08
2026-09-07 11:56:35,2026-09-07 11:56:35,0.11
2026-09-07 11:56:35,2026-09-07 11:56:35,0.33
2026-09-07 11:56:49,2026-09-07 11:56:49,0.13
2026-09-07 11:57:00,2026-09-07 11:57:01,0.39
2026-09-07 11:57:02,2026-09-07 11:57:04,1.3
2026-09-07 11:57:05,2026-09-07 11:57:07,2.54
2026-09-07 11:57:07,2026-09-07 11:57:08,0.12
2026-09-07 11:57:08,2026-09-07 11:57:10,2.13
2026-09-07 11:57:10,2026-09-07 11:57:11,0.52
2026-09-07 11:57:13,2026-09-07 11:57:13,0.31
2026-09-07 11:57:13,2026-09-07 11:57:14,0.92
2026-09-07 11:57:18,2026-09-07 11:57:19,0.91
2026-09-07 11:57:19,2026-09-07 11:57:19,0.04
2026-09-07 11:57:19,2026-09-07 11:57:19,0.24
2026-09-07 11:57:19,2026-09-07 11:57:20,0.26
2026-09-07 11:57:20,2026-09-07 11:57:21,0.88
2026-09-07 11:57:21,2026-09-07 11:57:22,0.88
2026-09-07 11:57:22,2026-09-07 11:57:23,1.11
2026-09-07 11:57:23,2026-09-07 11:57:24,1.14
2026-09-07 13:00:19,2026-09-07 13:00:20,0.59
2026-09-07 13:00:20,2026-09-07 13:00:20,0.03
2026-09-07 13:00:43,2026-09-07 13:00:43,0.15
2026-09-07 13:00:43,2026-09-07 13:00:44,1.35
2026-09-07 13:00:44,2026-09-07 13:00:48,3.34
2026-09-07 13:00:49,2026-09-07 13:00:49,0.33
2026-09-07 13:00:50,2026-09-07 13:00:50,0.11
2026-09-07 13:00:50,2026-09-07 13:00:51,0.61
2026-09-07 13:00:58,2026-09-07 13:00:58,0.04
2026-09-07 13:01:00,2026-09-07 13:01:00,0.05
2026-09-07 13:01:01,2026-09-07 13:01:01,0.07
2026-09-07 13:01:04,2026-09-07 13:01:06,1.63
2026-09-07 13:01:06,2026-09-07 13:01:06,0.32
2026-09-07 13:01:06,2026-09-07 13:01:07,0.68
2026-09-07 13:01:07,2026-09-07 13:01:07,0.12
2026-09-07 13:01:07,2026-09-07 13:01:07,0.07
2026-09-07 13:01:08,2026-09-07 13:01:08,0.31
2026-09-07 13:01:09,2026-09-07 13:01:10,0.91
2026-09-07 13:01:11,2026-09-07 13:01:12,0.65
2026-09-07 13:23:24,2026-09-07 13:23:25,0.52
2026-09-07 13:23:47,2026-09-07 13:23:47,0.49
2026-09-07 13:23:48,2026-09-07 13:23:48,0.04
2026-09-07 13:23:48,2026-09-07 13:23:51,2.38
2026-09-07 13:23:52,2026-09-07 13:23:53,1.53
2026-09-07 13:23:56,2026-09-07 13:23:56,0.18
2026-09-07 13:24:00,2026-09-07 13:24:00,0.15
2026-09-07 13:24:01,2026-09-07 13:24:02,0.42
2026-09-07 13:24:02,2026-09-07 13:24:02,0.49
2026-09-07 13:24:02,2026-09-07 13:24:03,0.41
2026-09-07 13:24:03,2026-09-07 13:24:05,1.53
2026-09-07 13:24:05,2026-09-07 13:24:07,1.67
2026-09-07 13:24:07,2026-09-07 13:24:10,3.28
2026-09-07 13:24:10,2026-09-07 13:24:11,0.59
2026-09-07 13:24:11,2026-09-07 13:24:12,1.32
2026-09-07 13:24:13,2026-09-07 13:24:14,0.16
2026-09-07 13:24:14,2026-09-07 13:24:14,0.14
2026-09-07 13:24:15,2026-09-07 13:24:15,0.04
2026-09-07 13:24:16,2026-09-07 13:24:16,0.54
2026-09-07 13:24:19,2026-09-07 13:24:24,4.65
2026-09-07 13:24:25,2026-09-07 13:24:26,1.21
2026-09-07 13:24:26,2026-09-07 13:24:26,0.12
2026-09-07 13:24:27,2026-09-07 13:24:28,1.03
2026-09-07 13:24:28,2026-09-07 13:24:28,0.04
2026-09-07 13:24:30,2026-09-07 13:24:31,0.15
2026-09-07 13:24:31,2026-09-07 13:24:31,0.04
2026-09-07 13:24:31,2026-09-07 13:24:32,0.93
2026-09-07 13:24:35,2026-09-07 13:24:36,1.21
2026-09-07 13:24:37,2026-09-07 13:24:37,0.04
2026-09-07 13:24:38,2026-09-07 13:24:38,0.29
2026-09-07 13:24:39,2026-09-07 13:24:39,0.33
2026-09-07 13:24:39,2026-09-07 13:24:41,1.77
2026-09-07 13:24:41,2026-09-07 13:24:41,0.73
2026-09-07 13:24:42,2026-09-07 13:24:43,1.11
2026-09-07 13:24:48,2026-09-07 13:24:50,1.22
2026-09-07 13:24:50,2026-09-07 13:24:50,0.04
2026-09-07 13:24:50,2026-09-07 13:24:51,1.51
2026-09-07 13:24:53,2026-09-07 13:24:53,0.73
2026-09-07 13:24:56,2026-09-07 13:24:57,1.54
2026-09-07 13:24:57,2026-09-07 13:24:58,0.33
2026-09-07 13:24:59,2026-09-07 13:24:59,0.23
2026-09-07 13:25:00,2026-09-07 13:25:01,1.73
2026-09-07 13:25:02,2026-09-07 13:25:06,3.32
2026-09-07 13:25:07,2026-09-07 13:25:09,1.69
2026-09-07 13:25:09,2026-09-07 13:25:10,0.17
2026-09-07 13:25:23,2026-09-07 13:25:25,2.37
2026-09-07 13:25:26,2026-09-07 13:25:26,0.08
2026-09-07 13:25:27,2026-09-07 13:25:27,0.22
2026-09-07 13:25:27,2026-09-07 13:25:27,0.24
2026-09-07 13:25:33,2026-09-07 13:25:38,4.45
2026-09-07 13:25:38,2026-09-07 13:25:38,0.04
2026-09-07 13:25:38,2026-09-07 13:25:39,0.45
2026-09-07 21:49:24,2026-09-07 21:49:27,3.19
2026-09-07 21:49:32,2026-09-07 21:49:34,2.62
2026-09-07 21:49:35,2026-09-07 21:49:35,0.05
2026-09-07 21:49:35,2026-09-07 21:49:36,0.27
2026-09-07 21:49:36,2026-09-07 21:49:37,1.01
2026-09-07 21:49:37,2026-09-07 21:49:38,1.01
2026-09-07 21:49:39,2026-09-07 21:49:40,0.59
2026-09-07 21:49:44,2026-09-07 21:49:44,0.5
2026-09-07 21:49:46,2026-09-07 21:49:47,0.1
2026-09-07 21:49:54,2026-09-07 21:49:55,1.0
2026-09-07 21:49:57,2026-09-07 21:49:57,0.1
2026-09-07 21:49:57,2026-09-07 21:49:57,0.11
2026-09-07 21:49:57,2026-09-07 21:49:57,0.1
2026-09-07 21:50:01,2026-09-07 21:50:01,0.51
2026-09-07 21:50:04,2026-09-07 21:50:05,1.2
2026-09-07 21:50:11,2026-09-07 21:50:11,0.11
2026-09-07 21:50:14,2026-09-07 21:50:14,0.09
2026-09-07 21:50:14,2026-09-07 21:50:16,1.91
2026-09-07 21:50:16,2026-09-07 21:50:17,1.2
2026-09-07 21:50:18,2026-09-07 21:50:18,0.19
2026-09-07 21:50:18,2026-09-07 21:50:21,2.42
2026-09-07 21:50:21,2026-09-07 21:50:21,0.11
2026-09-07 21:50:22,2026-09-07 21:50:23,0.99
2026-09-07 21:50:24,2026-09-07 21:50:27,3.41
2026-09-07 21:50:36,2026-09-07 21:50:37,0.7
2026-09-07 21:50:40,2026-09-07 21:50:40,0.1
2026-09-07 21:50:44,2026-09-07 21:50:45,1.22
2026-09-07 21:50:46,2026-09-07 21:50:46,0.22
2026-09-07 21:50:49,2026-09-07 21:50:49,0.11
2026-09-07 21:50:52,2026-09-07 21:50:54,2.0
2026-09-08 09:46:10,2026-09-08 09:46:10,0.25
2026-09-08 09:46:10,2026-09-08 09:46:13,2.11
2026-09-08 09:46:13,2026-09-08 09:46:13,0.03
2026-09-08 09:46:13,2026-09-08 09:46:14,1.14
2026-09-08 09:46:14,2026-09-08 09:46:17,2.52
2026-09-08 09:46:17,2026-09-08 09:46:18,0.85
2026-09-08 09:46:21,2026-09-08 09:46:22,1.58
2026-09-08 09:46:47,2026-09-08 09:46:48,1.18
2026-09-08 09:46:51,2026-09-08 09:46:52,0.77
2026-09-08 09:46:53,2026-09-08 09:46:55,1.91
2026-09-08 09:46:57,2026-09-08 09:46:59,1.87
2026-09-08 09:47:18,2026-09-08 09:47:19,1.22
2026-09-08 09:47:19,2026-09-08 09:47:20,1.03
2026-09-08 09:47:21,2026-09-08 09:47:21,0.92
2026-09-08 09:47:21,2026-09-08 09:47:22,0.55
2026-09-08 09:47:23,2026-09-08 09:47:24,1.29
2026-09-08 09:47:24,2026-09-08 09:47:25,0.83
2026-09-08 09:47:25,2026-09-08 09:47:26,0.97
2026-09-08 09:47:28,2026-09-08 09:47:29,0.74
2026-09-08 09:47:46,2026-09-08 09:47:47,0.67
2026-09-08 09:48:04,2026-09-08 09:48:04,0.18
2026-09-08 09:48:06,2026-09-08 09:48:06,0.04
2026-09-08 09:48:08,2026-09-08 09:48:08,0.08
2026-09-08 09:48:08,2026-09-08 09:48:08,0.31
2026-09-08 09:48:10,2026-09-08 09:48:10,0.18
2026-09-08 09:48:11,2026-09-08 09:48:11,0.12
2026-09-08 09:48:12,2026-09-08 09:48:12,0.21
2026-09-08 09:48:13,2026-09-08 09:48:13,0.23
2026-09-08 09:48:15,2026-09-08 09:48:17,2.51
2026-09-08 09:48:18,2026-09-08 09:48:19,1.0
2026-09-08 09:48:20,2026-09-08 09:48:20,0.26
2026-09-08 09:48:20,2026-09-08 09:48:22,1.77
2026-09-08 09:48:22,2026-09-08 09:48:22,0.04
2026-09-08 09:48:22,2026-09-08 09:48:23,0.28
2026-09-08 09:48:23,2026-09-08 09:48:23,0.26
2026-09-08 09:48:23,2026-09-08 09:48:23,0.19
2026-09-08 09:48:24,2026-09-08 09:48:25,1.01
2026-09-08 09:48:25,2026-09-08 09:48:25,0.22
2026-09-08 09:48:25,2026-09-08 09:48:26,1.27
2026-09-08 09:48:32,2026-09-08 09:48:33,1.13
2026-09-08 09:48:34,2026-09-08 09:48:34,0.19
2026-09-08 09:48:35,2026-09-08 09:48:36,0.69
2026-09-08 09:48:37,2026-09-08 09:48:37,0.18
2026-09-08 09:48:38,2026-09-08 09:48:38,0.37
2026-09-08 09:48:38,2026-09-08 09:48:38,0.07
2026-09-08 09:48:39,2026-09-08 09:48:39,0.18
2026-09-08 09:48:40,2026-09-08 09:48:41,0.76
2026-09-08 09:48:41,2026-09-08 09:48:41,0.11
2026-09-08 09:48:42,2026-09-08 09:48:42,0.04
2026-09-08 09:48:42,2026-09-08 09:48:43,0.79
2026-09-08 09:48:43,2026-09-08 09:48:44,0.33
2026-09-08 09:48:52,2026-09-08 09:48:52,0.12
2026-09-08 09:49:08,2026-09-08 09:49:08,0.08
2026-09-08 09:49:09,2026-09-08 09:49:10,1.04
2026-09-08 09:54:00,2026-09-08 09:54:01,1.07
2026-09-08 09:54:01,2026-09-08 09:54:02,1.29
2026-09-08 10:03:09,2026-09-08 10:03:11,1.22
2026-09-08 10:03:17,2026-09-08 10:03:17,0.06
2026-09-08 10:03:25,2026-09-08 10:03:26,0.07
2026-09-08 10:03:26,2026-09-08 10:03:26,0.06
2026-09-08 10:03:46,2026-09-08 10:03:47,1.29
2026-09-08 10:03:47,2026-09-08 10:03:47,0.07
2026-09-08 10:03:50,2026-09-08 10:03:52,1.94
2026-09-08 10:03:54,2026-09-08 10:03:54,0.36
2026-09-08 10:03:54,2026-09-08 10:03:55,0.21
2026-09-08 10:03:55,2026-09-08 10:03:55,0.07
2026-09-08 10:03:56,2026-09-08 10:03:57,0.79
2026-09-08 10:04:00,2026-09-08 10:04:00,0.25
2026-09-08 10:04:01,2026-09-08 10:04:01,0.07
2026-09-08 10:04:11,2026-09-08 10:04:11,0.14
2026-09-08 10:04:13,2026-09-08 10:04:13,0.15
2026-09-08 10:04:13,2026-09-08 10:04:13,0.07
2026-09-08 10:04:13,2026-09-08 10:04:13,0.04
2026-09-08 10:04:14,2026-09-08 10:04:14,0.07
2026-09-08 10:04:14,2026-09-08 10:04:14,0.18
2026-09-08 10:04:15,2026-09-08 10:04:15,0.08
2026-09-08 10:04:15,2026-09-08 10:04:15,0.26
2026-09-08 10:04:18,2026-09-08 10:04:19,0.44
2026-09-08 10:04:44,2026-09-08 10:04:44,0.04
